WKT,name
"POLYGON ((-74.0016632 40.5941132, -74.0010624 40.5923534, -73.9985733 40.5933311, -73.9990883 40.5922882, -74.0003757 40.5915713, -73.9994316 40.5910499, -73.9976291 40.5922231, -73.9970283 40.5915061, -73.9980583 40.5903981, -73.9988308 40.5892901, -73.9979725 40.5887035, -74.0001182 40.5870739, -73.9955692 40.5895508, -73.99514 40.5887686, -73.9942817 40.5887035, -73.9935951 40.5883124, -73.9959125 40.5871391, -73.9995174 40.5862918, -73.9994316 40.5854444, -73.9974575 40.585314, -74.0003757 40.5842059, -74.0003757 40.5830978, -73.995655 40.5820548, -73.9912777 40.5846622, -73.9904194 40.5844015, -73.991621 40.5812725, -73.9878444 40.5796429, -73.9872436 40.5812074, -73.9850979 40.5823155, -73.9835529 40.5834237, -73.9820938 40.5824459, -73.9787464 40.5801644, -73.9747982 40.582837, -73.9667598 40.5840493, -73.9646702 40.5930052, -73.9657645 40.597938, -73.9732207 40.5969867, -73.9725022 40.6040964, -73.9733707 40.6087627, -73.9881019 40.6071468, -74.0016632 40.5941132))",Gravesend
"POLYGON ((-74.0039922 40.581711, -74.0057763 40.581899, -74.0061717 40.582025, -74.0065671 40.5819555, -74.0061487 40.5800569, -74.003842 40.5803258, -74.0021104 40.5707114, -73.9997929 40.5704506, -73.9939564 40.5704506, -73.9683905 40.5733583, -73.9688626 40.5751837, -73.9667598 40.5840493, -73.9747982 40.582837, -73.9780778 40.5797732, -73.979966 40.5798384, -73.9836568 40.5829674, -73.9869183 40.5801644, -73.9867467 40.5795125, -73.9886349 40.5785998, -73.9902657 40.5796429, -73.9915532 40.5790562, -73.9980763 40.5804251, -73.9980763 40.5815985, -74.0001362 40.5812725, -74.0039922 40.581711))",Coney Island
"POLYGON ((-74.0359554 40.609584, -74.0299473 40.611213, -74.0281448 40.6132328, -74.0266857 40.6130374, -74.0269432 40.6103659, -74.0247974 40.6099098, -74.0148411 40.633884, -74.0258274 40.6405927, -74.032093 40.6439793, -74.034153 40.6439793, -74.0366421 40.6416347, -74.0356121 40.6406578, -74.0363846 40.6391598, -74.0386162 40.6396157, -74.0367279 40.6386388, -74.0389595 40.6339492, -74.0413628 40.6274353, -74.0413628 40.621898, -74.0394745 40.6138192, -74.0359554 40.609584))",Bay Ridge
"POLYGON ((-73.9713245 40.6483592, -73.9669104 40.6323011, -73.9665649 40.6286498, -73.9455916 40.6306207, -73.9512354 40.6362374, -73.9531237 40.6551723, -73.9597538 40.6548278, -73.9597967 40.6556092, -73.9619425 40.6551534, -73.9663074 40.65311, -73.9643333 40.650896, -73.9713245 40.6483592))",Flatbush
"POLYGON ((-73.9344276 40.6009975, -73.9331187 40.5947248, -73.9325822 40.594904, -73.932196 40.5948714, -73.9317239 40.5946596, -73.9310587 40.5946596, -73.9305652 40.5943989, -73.9298785 40.5939101, -73.9297713 40.5930628, -73.930179 40.5926718, -73.9304794 40.591743, -73.9303935 40.5909283, -73.9304794 40.5901624, -73.9303077 40.5900321, -73.9304579 40.5898528, -73.9302433 40.589641, -73.9296425 40.589364, -73.9289988 40.5893151, -73.9285696 40.5891033, -73.9281619 40.5888589, -73.9242137 40.5913682, -73.9239777 40.5910912, -73.9276684 40.5886633, -73.9275182 40.5883537, -73.9274324 40.5879626, -73.9266384 40.5871479, -73.9258016 40.586382, -73.924836 40.5856324, -73.9244068 40.585665, -73.92357 40.5859909, -73.923334 40.5859583, -73.9229906 40.585942, -73.9224756 40.5859909, -73.921274 40.5857465, -73.9207805 40.5859909, -73.9196647 40.5860724, -73.919257 40.5860072, -73.9182056 40.5865775, -73.9344276 40.6009975))",Gerritsen Beach
"POLYGON ((-73.9657645 40.597938, -73.9646702 40.5930052, -73.9667598 40.5840493, -73.9576617 40.5848641, -73.9574042 40.5832997, -73.9561597 40.5826153, -73.9486997 40.5835914, -73.941447 40.5837218, -73.9412325 40.5832329, -73.9393871 40.5832655, -73.9382713 40.5833959, -73.9381855 40.5830374, -73.9377563 40.5833959, -73.9368551 40.5832329, -73.9364259 40.5831677, -73.9360397 40.5834285, -73.9353531 40.5831677, -73.9347522 40.5830048, -73.9345806 40.5834285, -73.9342373 40.5829722, -73.9335077 40.5830048, -73.9320057 40.5830374, -73.9316194 40.5827766, -73.9306324 40.5828744, -73.9305894 40.5832329, -73.9260833 40.5835263, -73.9263408 40.5852862, -73.927757 40.586101, -73.9281862 40.5857425, -73.9282291 40.586264, -73.9281004 40.5867202, -73.9287441 40.5870461, -73.9310186 40.5867528, -73.9315336 40.5873069, -73.9296024 40.5876002, -73.9310615 40.5893275, -73.9317052 40.5912828, -73.9312332 40.5919346, -73.9331187 40.5947248, -73.9344276 40.6009975, -73.9419889 40.6004273, -73.9657645 40.597938))",Sheepshead Bay
"POLYGON ((-73.9935228 40.6019314, -73.9881019 40.6071468, -73.9733707 40.6087627, -73.9743396 40.6142142, -73.9965269 40.6273416, -74.0117618 40.612846, -74.0073415 40.6099464, -73.9935228 40.6019314))",Bensonhurst
"POLYGON ((-74.0117618 40.612846, -74.017117 40.6074639, -74.0154862 40.6067472, -74.0188336 40.6041732, -74.0195631 40.6031957, -74.0185761 40.6026092, -74.0169024 40.6024789, -74.0146279 40.6020227, -74.0122246 40.6012407, -74.0102076 40.600589, -74.0080618 40.5990576, -74.0049719 40.5973306, -74.0023541 40.5949843, -74.0020537 40.5942348, -73.9935228 40.6019314, -74.0117618 40.612846))",Bath Beach
"POLYGON ((-74.0247974 40.6099098, -74.0198278 40.606962, -74.017117 40.6074639, -74.0117618 40.612846, -73.9975118 40.6263774, -73.9965269 40.6273416, -74.0118456 40.6367995, -74.0148411 40.633884, -74.0246343 40.6103503, -74.0247974 40.6099098))",Dyker Heights
"POLYGON ((-74.0359554 40.609584, -74.0345318 40.6082776, -74.0334589 40.6070396, -74.030884 40.6050847, -74.0265495 40.6043027, -74.0195631 40.6031957, -74.0154862 40.6067472, -74.017117 40.6074639, -74.0198278 40.606962, -74.0247974 40.6099098, -74.0269432 40.6103659, -74.0266857 40.6130374, -74.0281448 40.6132328, -74.0299473 40.611213, -74.0359554 40.609584))",Fort Hamilton
"POLYGON ((-74.0074698 40.6340142, -73.9965269 40.6273416, -73.9743396 40.6142142, -73.9783258 40.6376096, -73.9787979 40.6379516, -73.9792914 40.64028, -73.9806433 40.6400357, -73.9882147 40.6445231, -73.9891119 40.6440452, -73.9940802 40.6468773, -74.0074698 40.6340142))",Borough Park
